id_source;id_destination;poids;type
N17;N35;109;3
N17;N44;144;3
N18;N64;84;3
N20;N49;173;3
N20;N63;88;3
N21;N59;45;3
N22;N23;53;3
N24;N4;93;3
N24;N16;123;3
N28;N67;84;3
N29;N46;110;3
N30;N92;46;3
N30;N97;82;3
N31;N29;13;3
N32;N22;125;3
N33;N8;60;3
N33;N9;75;3
N33;N19;176;3
N33;N39;55;3
N35;N62;178;3
N36;N22;19;3
N36;N43;115;3
N36;N45;107;3
N38;N74;31;3
N39;N4;74;3
N39;N6;195;3
N39;N68;165;3
N40;N24;76;3
N41;N31;157;3
N41;N52;176;3
N42;N89;174;3
N43;N35;111;3
N43;N87;173;3
N44;N6;59;3
N47;N12;105;3
N48;N65;140;3
N50;N78;152;3
N51;N19;49;3
N53;N78;158;3
N54;N25;20;3
N55;N75;140;3
N55;N77;111;3
N56;N86;19;3
N59;N56;42;3
N60;N9;10;3
N60;N92;196;3
N61;N7;135;3
N61;N24;45;3
N62;N55;98;3
N63;N100;83;3
N65;N60;45;3
N67;N32;168;3
N68;N72;125;3
N69;N21;88;3
N71;N1;35;3
N71;N82;151;3
N72;N43;161;3
N73;N35;122;3
N74;N80;182;3
N75;N81;91;3
N76;N12;113;3
N76;N34;72;3
N77;N11;103;3
N77;N17;93;3
N77;N76;93;3
N79;N1;88;3
N82;N6;95;3
N82;N58;55;3
N83;N84;190;3
N84;N39;187;3
N85;N66;107;3
N86;N9;27;3
N86;N19;99;3
N86;N33;27;3
N87;N79;117;3
N88;N12;89;3
N89;N65;59;3
N92;N40;160;3
N95;N100;108;3
N98;N62;139;3
N98;N80;130;3
N99;N8;85;3
N99;N45;171;3
N100;N12;47;3
